	error_rate	build time (sec)	search time (sec)	missed (%)
0	0.0	10.548	5.036	0.001
1	0.02	14.306	6.77	0.0
2	0.04	14.306	4.012	0.0
3	0.06	14.306	4.045	0.0
4	0.08	14.306	4.318	0.001
5	0.1	14.306	6.394	0.003
