	error_rate	adapt_cutoff	entropy_cutoff	search time (sec)	repeat queries	repeat lookups	missed (%)
0	0.02	0.2	1.0	19.366	0	0	0.0
1	0.02	0.4	1.0	19.162	0	0	0.0
2	0.02	0.6	1.0	19.217	0	0	0.0
3	0.02	0.8	1.0	19.204	0	0	0.0
4	0.02	1.0	1.0	19.346	0	0	0.0
5	0.04	0.2	1.0	5.081	0	0	0.0
6	0.04	0.4	1.0	4.985	0	0	0.0
7	0.04	0.6	1.0	12.917	0	0	0.0
8	0.04	0.8	1.0	23.522	0	0	0.0
9	0.04	1.0	1.0	23.927	0	0	0.0
10	0.06	0.2	1.0	5.488	0	0	0.001
11	0.06	0.4	1.0	5.64	0	0	0.001
12	0.06	0.6	1.0	13.517	0	0	0.0
13	0.06	0.8	1.0	26.058	0	0	0.0
14	0.06	1.0	1.0	27.066	0	0	0.0
15	0.08	0.2	1.0	33.04	0	0	0.005
16	0.08	0.4	1.0	33.007	0	0	0.005
17	0.08	0.6	1.0	126.186	0	0	0.003
18	0.08	0.8	1.0	250.547	0	0	0.0
19	0.08	1.0	1.0	249.918	0	0	0.0
20	0.1	0.2	1.0	45.562	0	0	0.02
21	0.1	0.4	1.0	45.667	0	0	0.02
22	0.1	0.6	1.0	181.09	0	0	0.011
23	0.1	0.8	1.0	369.471	0	0	0.002
24	0.1	1.0	1.0	369.905	0	0	0.002
0	0.02	1.0	0.2	19.564	0	0	0.0
1	0.02	1.0	0.4	19.306	0	0	0.0
2	0.02	1.0	0.6	23.822	0	0	0.0
3	0.02	1.0	0.8	19.323	0	0	0.0
4	0.02	1.0	1.0	19.304	0	0	0.0
5	0.04	1.0	0.2	10.238	0	0	0.671
6	0.04	1.0	0.4	16.499	0	0	0.342
7	0.04	1.0	0.6	24.464	0	0	0.018
8	0.04	1.0	0.8	24.772	0	0	0.0
9	0.04	1.0	1.0	24.918	0	0	0.0
10	0.06	1.0	0.2	9.477	0	0	0.671
11	0.06	1.0	0.4	17.014	0	0	0.342
12	0.06	1.0	0.6	25.111	0	0	0.017
13	0.06	1.0	0.8	24.865	0	0	0.0
14	0.06	1.0	1.0	26.205	0	0	0.0
15	0.08	1.0	0.2	84.417	0	0	0.67
16	0.08	1.0	0.4	174.443	0	0	0.342
17	0.08	1.0	0.6	276.711	0	0	0.018
18	0.08	1.0	0.8	256.915	0	0	0.002
19	0.08	1.0	1.0	283.222	0	0	0.0
20	0.1	1.0	0.2	156.107	0	0	0.672
21	0.1	1.0	0.4	246.722	0	0	0.343
22	0.1	1.0	0.6	414.747	0	0	0.019
23	0.1	1.0	0.8	369.482	0	0	0.002
24	0.1	1.0	1.0	394.008	0	0	0.002
