	error_rate	adapt_cutoff	entropy_cutoff	search time (sec)	repeat queries	repeat lookups	missed (%)
0	0.02	0.2	1.0	20.108	0	0	0.0
1	0.02	0.4	1.0	20.657	0	0	0.0
2	0.02	0.6	1.0	20.442	0	0	0.0
3	0.02	0.8	1.0	20.662	0	0	0.0
4	0.02	1.0	1.0	20.163	0	0	0.0
5	0.04	0.2	1.0	6.715	0	0	0.0
6	0.04	0.4	1.0	5.633	0	0	0.0
7	0.04	0.6	1.0	17.351	0	0	0.0
8	0.04	0.8	1.0	42.799	0	0	0.0
9	0.04	1.0	1.0	37.796	0	0	0.0
10	0.06	0.2	1.0	5.968	0	0	0.001
11	0.06	0.4	1.0	6.674	0	0	0.001
12	0.06	0.6	1.0	15.43	0	0	0.0
13	0.06	0.8	1.0	26.762	0	0	0.0
14	0.06	1.0	1.0	41.15	0	0	0.0
15	0.08	0.2	1.0	34.386	0	0	0.005
16	0.08	0.4	1.0	34.375	0	0	0.005
17	0.08	0.6	1.0	139.569	0	0	0.005
18	0.08	0.8	1.0	256.886	0	0	0.0
19	0.08	1.0	1.0	255.32	0	0	0.0
20	0.1	0.2	1.0	48.291	0	0	0.019
21	0.1	0.4	1.0	46.822	0	0	0.019
22	0.1	0.6	1.0	203.752	0	0	0.017
23	0.1	0.8	1.0	383.813	0	0	0.002
24	0.1	1.0	1.0	381.961	0	0	0.002
0	0.02	1.0	0.2	20.606	0	0	0.0
1	0.02	1.0	0.4	20.79	0	0	0.0
2	0.02	1.0	0.6	20.987	0	0	0.0
3	0.02	1.0	0.8	20.373	0	0	0.0
4	0.02	1.0	1.0	20.644	0	0	0.0
5	0.04	1.0	0.2	21.324	0	0	0.676
6	0.04	1.0	0.4	40.504	0	0	0.353
7	0.04	1.0	0.6	58.908	0	0	0.03
8	0.04	1.0	0.8	60.264	0	0	0.0
9	0.04	1.0	1.0	62.244	0	0	0.0
10	0.06	1.0	0.2	21.666	0	0	0.676
11	0.06	1.0	0.4	43.474	0	0	0.352
12	0.06	1.0	0.6	61.634	0	0	0.028
13	0.06	1.0	0.8	52.962	0	0	0.0
14	0.06	1.0	1.0	60.882	0	0	0.0
15	0.08	1.0	0.2	86.492	0	0	0.676
16	0.08	1.0	0.4	175.944	0	0	0.352
17	0.08	1.0	0.6	252.923	0	0	0.029
18	0.08	1.0	0.8	255.613	0	0	0.0
19	0.08	1.0	1.0	264.994	0	0	0.0
20	0.1	1.0	0.2	129.476	0	0	0.676
21	0.1	1.0	0.4	260.198	0	0	0.352
22	0.1	1.0	0.6	377.549	0	0	0.029
23	0.1	1.0	0.8	380.29	0	0	0.002
24	0.1	1.0	1.0	380.694	0	0	0.002
